date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:18:37	6559/6559	---M-Z	200	added ('OK')	text/css	etag:%22199f-5fd102b298a40-gzip%22	https://www.tonytropeadc.com/plugins/editor/cms/assets/css/libs/flexslider/flexslider.css?v.1.178	C:/Users/USER/Desktop/aa/www.tonytropeadc.com/plugins/editor/cms/assets/css/libs/flexslider/flexsliderf2e6.css	(from https://www.tonytropeadc.com/about-us)
12:18:37	19328/19328	---M-Z	200	added ('OK')	text/css	etag:%224b80-5fd102b298a40-gzip%22	https://www.tonytropeadc.com/plugins/editor/cms/assets/css/libs/sweet-alert-two/sweetalert2.css?v.1.178	C:/Users/USER/Desktop/aa/www.tonytropeadc.com/plugins/editor/cms/assets/css/libs/sweet-alert-two/sweetalert2f2e6.css	(from https://www.tonytropeadc.com/about-us)
12:18:38	4512/4512	---M-Z	200	added ('OK')	text/css	etag:%2211a0-5fd0ff4eb3bdd-gzip%22	https://www.tonytropeadc.com/plugins/smb/cta/components/assets/css/colorbox.css?v.1.0.46	C:/Users/USER/Desktop/aa/www.tonytropeadc.com/plugins/smb/cta/components/assets/css/colorboxfac3.css	(from https://www.tonytropeadc.com/about-us)
12:18:38	44098/44098	---M-Z	200	added ('OK')	text/css	etag:%22ac42-5fd0eedb82046-gzip%22	https://www.tonytropeadc.com/themes/common/javascripts/vendor/jquery.mmenu/css/jquery.mmenu.all.css?v.9206f8	C:/Users/USER/Desktop/aa/www.tonytropeadc.com/themes/common/javascripts/vendor/jquery.mmenu/css/jquery.mmenu.all5ad1.css	(from https://www.tonytropeadc.com/about-us)
12:18:38	663/663	---M-Z	200	added ('OK')	text/css	etag:%22297-5fd0ff5f7baf3-gzip%22	https://www.tonytropeadc.com/plugins/smb/navigation/components/navigation/assets/css/navigation.css?v.1.0.75	C:/Users/USER/Desktop/aa/www.tonytropeadc.com/plugins/smb/navigation/components/navigation/assets/css/navigationafa0.css	(from https://www.tonytropeadc.com/about-us)
12:18:39	335/335	---M-Z	200	added ('OK')	text/css	etag:%2214f-5fd0ff5f7b323-gzip%22	https://www.tonytropeadc.com/plugins/smb/navigation/components/navigation/assets/css/more_nav.css?v.1.0.75	C:/Users/USER/Desktop/aa/www.tonytropeadc.com/plugins/smb/navigation/components/navigation/assets/css/more_navafa0.css	(from https://www.tonytropeadc.com/about-us)
12:18:39	234/234	---M-Z	200	added ('OK')	text/css	etag:%22ea-5f78fedd60db4-gzip%22	https://www.tonytropeadc.com/plugins/smb/pagetitle/components/pagetitle/assets/css/pagetitle.css?v.1.0.3	C:/Users/USER/Desktop/aa/www.tonytropeadc.com/plugins/smb/pagetitle/components/pagetitle/assets/css/pagetitle3587.css	(from https://www.tonytropeadc.com/about-us)
12:18:39	2801/2801	---M-Z	200	added ('OK')	text/css	etag:%22af1-5f45773d37da3-gzip%22	https://www.tonytropeadc.com/plugins/smb/form/components/assets/css/form.css?v.1.1.66	C:/Users/USER/Desktop/aa/www.tonytropeadc.com/plugins/smb/form/components/assets/css/formfdb9.css	(from https://www.tonytropeadc.com/about-us)
12:18:39	38234/38234	---M-Z	200	added ('OK')	text/css	etag:%22955a-5fd102b298a40-gzip%22	https://www.tonytropeadc.com/plugins/editor/cms/assets/css/libs/videojs/video-js.min.css?v.1.178	C:/Users/USER/Desktop/aa/www.tonytropeadc.com/plugins/editor/cms/assets/css/libs/videojs/video-js.minf2e6.css	(from https://www.tonytropeadc.com/about-us)
12:18:40	285/285	---M-Z	200	added ('OK')	text/css	etag:%2211d-5fd102b298a40-gzip%22	https://www.tonytropeadc.com/plugins/editor/cms/assets/css/libs/videojs/video-js.custom.min.css?v.1.178	C:/Users/USER/Desktop/aa/www.tonytropeadc.com/plugins/editor/cms/assets/css/libs/videojs/video-js.custom.minf2e6.css	(from https://www.tonytropeadc.com/about-us)
